x,y,z
21317,4243,0
16656,3203,0
3123,174,0
5929,17863,0
25289,23555,0
16594,15049,0
4679,12822,0
1801,12297,0
5705,23613,0
6930,14573,0
14685,733,0
16468,23639,0
3767,6701,0
3889,21027,0
22110,11131,0
15520,21465,0
16335,11609,0
8587,7828,0
397,18595,0
22357,11283,0
14533,13927,0
23420,14640,0
8328,4181,0
10825,6608,0
9217,14495,0
1259,18603,0
2431,20483,0
21924,24260,0
14474,2919,0
15669,16353,0
5263,5128,0
15387,16749,0
9126,23222,0
3928,21743,0
5443,10948,0
4027,4287,0
1865,22155,0
8521,25167,0
12528,24466,0
21651,16175,0
25180,23634,0
5108,12150,0
17323,19514,0
17190,18997,0
1382,1494,0
23731,21443,0
787,794,0
12633,16694,0
24656,23375,0
6926,5464,0
17652,18441,0
736,10660,0
27,16128,0
17834,15114,0
16393,4766,0
925,21357,0
13676,8981,0
6985,5292,0
17628,23843,0
13190,17572,0
11028,11470,0
20796,8987,0
19684,18751,0
6687,24355,0
19999,5253,0
16151,452,0
24156,3283,0
19743,5074,0
22182,2417,0
18343,5822,0
8822,9388,0
18020,15799,0
12418,8610,0
6681,15804,0
9119,2193,0
22543,24760,0
724,405,0
15044,13326,0
13538,501,0
13556,14996,0
5285,13788,0
23474,8430,0
13699,23173,0
21266,1713,0
17694,13096,0
9814,502,0
7394,5361,0
14880,15657,0
1401,4607,0
11177,20006,0
16310,5061,0
13399,2947,0
6530,15949,0
15680,23675,0
8307,14161,0
25397,15015,0
1712,15474,0
23320,10700,0
11410,12609,0
1030,14025,0
11141,6595,0
18818,4927,0
16316,15442,0
2352,14083,0
4092,8861,0
23575,10609,0
4616,2639,0
17618,5248,0
6510,9749,0
16140,20959,0
12336,4047,0
21404,11932,0
8210,24183,0
8768,24095,0
12427,11097,0
20949,4240,0
11355,5261,0
18398,23305,0
9635,22709,0
1913,12875,0
19950,19645,0
22354,18174,0
13254,4196,0
24570,2909,0
5973,9219,0
17154,9218,0
7897,12162,0
25215,1902,0
1836,13663,0
4660,22965,0
14309,23140,0
6179,14945,0
18153,23506,0
12383,5127,0
15281,7410,0
14510,2049,0
25108,13448,0
5908,23736,0
8911,4293,0
19811,9877,0
16503,20206,0
3931,15630,0
20223,11011,0
20031,18900,0
15494,22016,0
5218,24770,0
17694,24260,0
7851,11309,0
21900,9386,0
10697,5920,0
16382,7485,0
22400,18793,0
25391,1344,0
8437,30,0
23788,19015,0
19975,25402,0
3595,136,0
21195,13472,0
2788,6302,0
12064,13699,0
2320,14740,0
17904,4969,0
14716,6350,0
22290,1967,0
407,24640,0
24135,14432,0
2657,16239,0
12257,13502,0
2860,4441,0
12066,24831,0
22256,2930,0
9083,25408,0
4903,15686,0
1683,7211,0
18313,270,0
17465,21417,0
24475,14453,0
1305,19213,0
24017,6801,0
17283,2062,0
11200,24533,0
2601,13006,0
5649,3131,0
3983,22876,0
21012,17640,0
18579,3385,0
1710,22125,0
10810,19246,0
6679,18824,0
7887,3494,0
3711,4767,0
12047,11861,0
24274,13009,0
1579,22514,0
3987,17962,0
21792,5650,0
22064,6903,0
18123,10173,0
15740,3972,0
17813,5209,0
9585,4769,0
10685,700,0
16574,13326,0
11130,16622,0
13929,9499,0
20779,5125,0
10973,8590,0
13567,12792,0
23165,24662,0
15672,17413,0
1289,21357,0
2184,12046,0
19696,22029,0
17840,6334,0
12706,7076,0
22475,18818,0
16006,22831,0
16305,22699,0
6280,11824,0
11757,15406,0
17916,7597,0
6605,19309,0
123,8969,0
6118,15092,0
2996,21629,0
739,23353,0
711,12866,0
7372,10116,0
7722,7694,0
24709,8555,0
6584,20035,0
8334,16284,0
22876,11890,0
15411,20902,0
7290,24077,0
517,17632,0
5175,5779,0
13547,18946,0
24655,10931,0
3007,17263,0
17003,24862,0
9677,24947,0
16478,150,0
8922,2070,0
7157,18968,0
8900,13071,0
12719,8804,0
11638,2229,0
9464,10826,0
14265,21997,0
8408,25226,0
18066,24532,0
24746,14213,0
2588,6218,0
15747,8165,0
3467,21704,0
6177,5170,0
22449,8047,0
24300,22641,0
5598,8397,0
13676,17030,0
128,15095,0
861,12778,0
21853,5065,0
19364,5270,0
25163,10533,0
21690,9588,0
11065,20557,0
25350,1343,0
20416,20426,0
18870,24545,0
25275,22240,0
11030,18810,0
23405,8616,0
22184,13862,0
16420,10454,0
4184,23942,0
20246,22752,0
13374,20681,0
5850,12518,0
10306,10188,0
6623,12513,0
14166,16908,0
24041,6608,0
2344,18313,0
10014,18146,0
20842,1431,0
3956,16416,0
2718,2588,0
23608,7163,0
8920,14703,0
18779,6967,0
9305,2731,0
7732,21403,0
8204,17949,0
1309,17133,0
25306,5112,0
9284,17000,0
7556,13803,0
24360,13120,0
16331,765,0
9275,14297,0
7874,573,0
812,13389,0
25125,10204,0
16007,14896,0
20365,18905,0
24253,16404,0
2292,24099,0
24490,23987,0
10407,2119,0
19979,11864,0
20043,13127,0
12644,10939,0
9908,24050,0
3735,10235,0
19776,5896,0
10024,24039,0
4399,8665,0
14567,1207,0
4790,8167,0
1813,3707,0
24901,5645,0
18820,629,0
22254,24537,0
22458,21057,0
21983,22054,0
7316,17400,0
25040,22326,0
7494,9997,0
23786,8996,0
21993,11650,0
14670,15600,0
19876,2163,0
16838,15558,0
1446,5372,0
19037,7730,0
3673,25362,0
11871,2583,0
3910,9401,0
19583,12649,0
6997,22412,0
25432,12530,0
857,5621,0
20140,4440,0
12913,13509,0
6099,5006,0
11937,2399,0
1913,1061,0
19735,3877,0
12373,13727,0
14622,682,0
20103,5213,0
3909,3386,0
6338,16008,0
6374,3614,0
1356,1799,0
8368,12779,0
9066,7168,0
24880,4055,0
2410,625,0
2762,19089,0
19490,6617,0
9550,5770,0
18372,8555,0
17852,12577,0
9221,18049,0
14207,20120,0
16389,16504,0
17790,15228,0
21646,23625,0
22770,15053,0
16091,7095,0
18528,8353,0
18096,3935,0
19256,6837,0
8878,6247,0
7106,22866,0
5636,24098,0
13065,1949,0
8985,7658,0
3917,18551,0
11338,9440,0
5487,12904,0
9431,18813,0
6524,7092,0
13486,8597,0
14658,15871,0
6617,5633,0
7937,21530,0
25075,23930,0
22739,22876,0
4297,22990,0
21120,9028,0
17607,23864,0
17647,11317,0
8445,17762,0
19716,25048,0
19476,23800,0
15249,12207,0
11046,12575,0
23939,2178,0
6921,5,0
8684,6646,0
891,5252,0
14792,5613,0
28,7736,0
23575,20905,0
3585,20679,0
18154,12967,0
16005,5528,0
22509,6998,0
22213,17701,0
5225,8542,0
6879,7800,0
20474,15107,0
1635,9798,0
25319,604,0
1374,16872,0
5448,17005,0
9574,16841,0
21669,1755,0
22822,12445,0
6728,3716,0
16558,21783,0
2176,23226,0
17740,5857,0
1806,16242,0
19392,18646,0
11390,6616,0
22628,631,0
17686,6938,0
2286,4638,0
7499,16557,0
3510,138,0
16796,6463,0
23054,17007,0
12330,9569,0
13825,15385,0
6534,22950,0
21778,20338,0
4416,20886,0
21524,19485,0
4917,22363,0
16007,17072,0
23143,13477,0
1644,19649,0
11520,15334,0
24930,10015,0
12503,4215,0
19264,19023,0
2744,24120,0
10240,21719,0
10173,10169,0
19327,15885,0
2111,16528,0
18181,19823,0
2881,23847,0
3380,20390,0
20039,11853,0
205,16038,0
7451,13151,0
24820,21114,0
7617,9636,0
7490,8056,0
16946,9921,0
19125,21275,0
4960,16468,0
11824,921,0
16709,18507,0
15250,19400,0
22457,5655,0
22241,5065,0
8053,6836,0
17757,20481,0
15470,15066,0
3526,21395,0
19691,11126,0
15898,24786,0
14234,235,0
24585,3528,0
16619,5017,0
15545,14884,0
22041,7968,0
13270,12002,0
10949,18719,0
2478,1901,0
16970,962,0
18890,13169,0
14664,5511,0
7788,3611,0
12127,24940,0
20227,13899,0
11229,348,0
9491,9290,0
15624,10104,0
12448,21692,0
4162,14585,0
24818,16083,0
11382,17860,0
20995,12027,0
25022,13854,0
22399,2079,0
8544,20664,0
22411,10602,0
19784,9331,0
995,17192,0
10793,23605,0
22837,15476,0
1378,4204,0
23978,23270,0
21970,9416,0
22004,24692,0
12500,23256,0
21460,7386,0
11471,16227,0
13175,23061,0
25221,10948,0
11603,18569,0
14902,9690,0
15370,7070,0
8534,14260,0
8620,7751,0
2267,21936,0
20677,18446,0
11470,23267,0
11422,23496,0
4992,21485,0
11551,19811,0
24352,8029,0
2230,14220,0
14608,19879,0
663,25159,0
10237,112,0
6359,6241,0
8852,24213,0
936,23666,0
21868,24639,0
6365,14607,0
17730,13969,0
290,20072,0
16153,5754,0
9115,15014,0
19461,16529,0
6080,22778,0
556,15374,0
19594,25045,0
10036,21716,0
17673,5059,0
17322,13471,0
24135,10238,0
4748,13391,0
11671,9799,0
7700,19018,0
19504,11069,0
10019,15307,0
22550,7506,0
13280,21914,0
5372,19816,0
11982,18289,0
7657,18390,0
13328,2198,0
1254,7315,0
24588,10086,0
13720,13203,0
18654,20095,0
10672,20423,0
13241,17230,0
18437,9453,0
16778,19238,0
3408,23822,0
11959,4150,0
6627,24765,0
19058,172,0
23563,22096,0
15161,11520,0
6257,16486,0
1265,3489,0
10760,17150,0
3457,7970,0
1126,3057,0
14004,13028,0
7107,7497,0
6962,21318,0
17618,11225,0
23523,24785,0
14994,17476,0
9357,22481,0
301,14823,0
316,25425,0
20009,13238,0
372,683,0
9647,18671,0
12737,11297,0
11692,11070,0
1095,3550,0
18662,7557,0
23928,18654,0
207,19604,0
6904,13171,0
6328,8237,0
53,14169,0
9685,19255,0
3898,17226,0
6221,24394,0
4078,23472,0
4818,10470,0
14800,19497,0
3565,10555,0
13782,22269,0
12570,24866,0
15410,9594,0
12772,21599,0
15045,23616,0
23500,21476,0
2203,5990,0
22767,20375,0
7005,22921,0
3239,12554,0
9543,9728,0
1758,24834,0
539,19990,0
11059,16056,0
8334,18051,0
16981,17583,0
334,10605,0
3486,3513,0
4578,10063,0
19195,16914,0
20311,20214,0
18933,10967,0
908,8874,0
7183,727,0
15721,14002,0
1985,20936,0
21510,14711,0
4775,16072,0
15665,5768,0
135,7190,0
17342,22554,0
3870,2141,0
9043,16568,0
14550,20742,0
21215,24867,0
10731,24135,0
12502,24615,0
23154,14505,0
22521,17711,0
18791,5478,0
9078,2294,0
22115,8273,0
5392,11248,0
22301,1519,0
15140,3990,0
4044,10583,0
1413,11585,0
18748,3794,0
7285,14422,0
13592,24712,0
5459,20955,0
18628,13219,0
13096,9157,0
13714,24186,0
124,22752,0
17509,11802,0
18447,23564,0
17205,5709,0
18160,1321,0
2558,10970,0
18392,23409,0
19102,24902,0
18187,6770,0
79,20564,0
9444,2981,0
5480,18098,0
19403,498,0
5642,2618,0
9985,11877,0
22720,8692,0
23474,7332,0
3919,23582,0
13887,18974,0
3891,3070,0
17937,4427,0
1654,8865,0
14452,24015,0
16306,24629,0
13459,9662,0
1216,17104,0
1899,10227,0
1474,8518,0
23594,22604,0
15791,15877,0
13241,2886,0
18060,19891,0
7749,16557,0
11930,5468,0
22616,4514,0
18402,1632,0
5505,14062,0
21212,2341,0
13246,2984,0
11104,9454,0
14894,21896,0
