x,y,z
10542,3617,0
33812,10065,0
33386,4332,0
33084,12050,0
16077,6265,0
44016,6341,0
7757,4452,0
50030,2115,0
39061,1075,0
3401,4963,0
46313,9752,0
8456,12426,0
34418,1424,0
2081,4714,0
25358,4667,0
12549,10850,0
4565,3494,0
9421,2127,0
37251,3803,0
34593,12675,0
6860,5606,0
13896,2422,0
23302,6432,0
49804,6575,0
23749,3105,0
20544,4780,0
23278,7460,0
34125,12248,0
44553,12694,0
34911,2611,0
48211,7771,0
26791,2005,0
6071,3114,0
17547,256,0
11620,10129,0
36102,9999,0
17346,592,0
5766,7385,0
37495,2967,0
7291,9745,0
15603,3522,0
40011,6098,0
30038,6996,0
14834,1706,0
12938,10354,0
17383,3941,0
13667,10306,0
2859,9865,0
17127,6163,0
19980,2605,0
18421,6701,0
6621,4041,0
49862,4878,0
31044,6854,0
40611,6887,0
27652,5086,0
10710,237,0
22123,694,0
44859,10463,0
47785,9709,0
26547,5862,0
11730,1592,0
47409,3600,0
7495,10269,0
35660,10177,0
24869,1819,0
2234,12228,0
10225,7977,0
43374,2089,0
33168,11077,0
1221,4766,0
7557,5433,0
7061,1594,0
10057,11781,0
20627,1804,0
24419,6087,0
18667,8411,0
508,8882,0
8584,11974,0
23274,6197,0
47349,7892,0
33566,10393,0
47515,3207,0
42228,3806,0
39765,6842,0
41857,9786,0
35458,741,0
22255,2046,0
6280,3579,0
42306,4121,0
47612,8403,0
5075,3920,0
45234,7783,0
49481,407,0
23067,4305,0
4455,11120,0
45470,12176,0
18203,7776,0
48078,9782,0
7023,8690,0
13947,6133,0
19243,1815,0
48707,9423,0
4585,843,0
9464,1034,0
1788,1764,0
34353,2280,0
12265,5154,0
848,9584,0
19851,2299,0
50280,7133,0
24806,8287,0
47395,4820,0
11409,6905,0
12493,5823,0
20355,5576,0
37370,10216,0
41328,6332,0
24276,2676,0
7196,12508,0
11501,6883,0
48919,3864,0
29313,4200,0
30446,8528,0
41747,5858,0
10284,163,0
9446,6797,0
46154,9819,0
10420,7684,0
1401,10012,0
18950,3652,0
39076,10996,0
17323,2377,0
18307,3684,0
14178,10970,0
27067,9707,0
36266,2783,0
20601,4710,0
40948,2844,0
1838,10512,0
11143,79,0
46711,9765,0
30521,6202,0
10327,10586,0
30548,8927,0
46637,2038,0
18634,2685,0
23211,12339,0
33761,11613,0
43824,3228,0
18284,10013,0
23137,1393,0
49854,5287,0
31115,7700,0
30440,7577,0
49390,1042,0
22684,3854,0
43434,4028,0
45090,2650,0
43921,6808,0
17898,6862,0
5011,8593,0
41658,4826,0
26299,4074,0
38277,10983,0
13155,5243,0
29901,572,0
9085,12097,0
44098,12217,0
22937,4910,0
22433,9053,0
17809,4905,0
18171,12154,0
18668,4542,0
48031,10293,0
47909,3330,0
49964,6419,0
49105,6646,0
32885,15,0
40240,1573,0
6435,1316,0
37623,3244,0
23610,9623,0
27541,1577,0
3285,6992,0
48208,6658,0
44229,6173,0
14648,4033,0
20203,6768,0
2402,12246,0
21438,4901,0
3715,9763,0
10513,1141,0
20644,6435,0
15517,3949,0
16960,3547,0
4646,3924,0
27020,1052,0
16432,3377,0
21900,4418,0
25988,10308,0
17299,5380,0
10796,6049,0
34854,11395,0
30944,3823,0
7919,4989,0
22840,3216,0
29951,12657,0
15853,4071,0
7182,10693,0
16872,10606,0
14043,4500,0
19192,4474,0
44435,8921,0
17258,11408,0
33795,6886,0
30198,9338,0
34832,8026,0
3527,5581,0
15016,4207,0
37223,5836,0
22767,6436,0
49076,10310,0
26784,8471,0
19410,4134,0
10322,12301,0
19315,4897,0
48655,3438,0
22027,4355,0
46258,9969,0
46570,6311,0
23211,5080,0
26503,4941,0
19782,919,0
45862,4269,0
32269,5488,0
45466,4846,0
6988,4540,0
19433,12045,0
12701,12367,0
40885,6428,0
32507,6495,0
20596,8993,0
13453,3685,0
3091,743,0
6019,4245,0
30088,9683,0
37503,9324,0
29407,520,0
11499,5091,0
50597,3433,0
21817,7250,0
35963,12597,0
22265,2658,0
21426,12064,0
22473,5961,0
35614,4251,0
35601,12176,0
23833,3440,0
50066,9226,0
360,9679,0
47020,5958,0
17594,9180,0
35036,7140,0
32681,2201,0
46356,8085,0
35164,8291,0
43047,10448,0
21765,8045,0
8650,3759,0
15900,1540,0
31167,6900,0
29130,1181,0
24269,6309,0
17562,7778,0
50646,4633,0
27956,1073,0
1911,3230,0
14482,3378,0
16545,5014,0
32778,968,0
26923,1072,0
48072,12386,0
18984,2223,0
8164,6461,0
38191,7258,0
2401,10290,0
8578,23,0
11076,5498,0
12365,6260,0
5660,6721,0
7487,10910,0
2679,9425,0
42105,173,0
27222,3483,0
27494,9988,0
5313,3543,0
31409,924,0
24927,6564,0
31206,6379,0
46901,9652,0
19869,7388,0
47873,11615,0
869,3230,0
23928,5875,0
17029,4070,0
12159,4726,0
8339,1622,0
43476,4238,0
23314,1665,0
20313,10033,0
32928,12707,0
33827,8781,0
22627,7700,0
12832,12592,0
11535,5624,0
1284,1215,0
13594,6125,0
15553,2800,0
13437,7187,0
31172,3029,0
12468,5064,0
3360,3421,0
1156,1889,0
39652,10154,0
13850,1379,0
10458,6944,0
22543,12354,0
4210,6986,0
49856,11663,0
38448,10651,0
30458,3747,0
37895,8412,0
25925,11133,0
7839,4544,0
42881,12199,0
48103,1083,0
34296,9931,0
18216,11628,0
32605,6679,0
38719,590,0
18726,4709,0
30783,11920,0
30273,3187,0
32657,3120,0
40772,11510,0
42389,9436,0
8305,11452,0
20186,1378,0
14051,5388,0
49374,12414,0
47070,2005,0
24336,11106,0
21442,10373,0
22938,5358,0
50354,7134,0
12245,6683,0
37488,4080,0
27937,3554,0
23529,10017,0
7124,4896,0
908,5032,0
2776,318,0
25570,10884,0
44347,7481,0
47714,3965,0
5001,1851,0
10483,1582,0
28003,8263,0
40412,3985,0
5394,5347,0
16931,7611,0
22520,2709,0
40955,8006,0
50498,10465,0
3845,5774,0
43967,11458,0
42118,4746,0
31072,4511,0
20725,5491,0
34006,5449,0
38420,2848,0
47343,4930,0
34791,3310,0
42773,393,0
2321,2555,0
32584,10189,0
25676,7876,0
63,1617,0
8608,9936,0
41649,10075,0
36841,7939,0
451,11566,0
45571,4503,0
41961,9306,0
9284,74,0
15060,4831,0
46684,8873,0
13968,12284,0
36492,1277,0
34586,697,0
7417,9668,0
21892,8869,0
33785,166,0
2696,2329,0
38252,12075,0
8189,7689,0
4926,9875,0
11789,1433,0
6313,1349,0
9250,5285,0
39256,12098,0
19643,10966,0
47292,10424,0
28239,10737,0
17891,8992,0
41360,12718,0
23479,4272,0
21716,392,0
36863,172,0
40612,5524,0
9523,10663,0
13831,9997,0
24445,577,0
45116,5110,0
16135,3082,0
35936,9899,0
38279,5317,0
33533,8202,0
7367,12689,0
9816,198,0
33758,12331,0
42016,11066,0
31881,10795,0
2009,3484,0
14329,3548,0
16518,2116,0
39512,2462,0
15521,11227,0
24657,2360,0
14721,12440,0
42716,11444,0
19429,9554,0
3765,4302,0
44596,9611,0
30720,3500,0
39476,7276,0
16585,10195,0
43790,10691,0
31428,2746,0
45704,3070,0
44250,394,0
49427,8157,0
10876,8285,0
12382,4316,0
16187,12010,0
14867,1721,0
16498,1719,0
9246,12338,0
12515,3190,0
50006,4403,0
22180,10762,0
46636,8191,0
39335,5161,0
31104,1890,0
14036,1779,0
24104,131,0
45398,2648,0
31734,7144,0
308,8169,0
10184,1398,0
2655,10521,0
39487,8840,0
45239,11803,0
685,7796,0
5448,6762,0
42174,7943,0
17585,282,0
4362,9520,0
10249,6828,0
21793,9630,0
5550,6393,0
8689,12699,0
44782,4932,0
32600,1533,0
13652,768,0
36767,10016,0
1480,297,0
2119,1620,0
47573,2665,0
42149,11854,0
12442,6205,0
49469,8333,0
47165,5018,0
1831,12579,0
19461,8916,0
44332,12653,0
11943,5701,0
4844,9783,0
39556,7527,0
30221,2677,0
31596,7367,0
46703,6643,0
187,3144,0
39101,10374,0
2420,10192,0
14114,10218,0
1604,1485,0
14909,6058,0
37709,1135,0
39564,3429,0
5934,7722,0
50488,11589,0
19542,8929,0
22345,9192,0
39630,4346,0
36230,7947,0
14497,8391,0
16875,2798,0
9036,1425,0
13019,4140,0
40806,11435,0
22599,8459,0
45524,4926,0
8920,8566,0
13419,5953,0
27304,4356,0
49478,8977,0
34454,1065,0
18934,3296,0
34920,789,0
