x,y,z
38440,8455,0
47893,8205,0
45047,12714,0
15093,2303,0
18968,4454,0
15275,5297,0
48878,5547,0
1646,2766,0
7930,5215,0
32816,1823,0
21154,1041,0
36414,3810,0
29764,9990,0
2658,11513,0
4837,7097,0
18540,6225,0
47231,679,0
14086,3369,0
13632,5079,0
25006,11466,0
38341,5744,0
8933,1185,0
26068,1113,0
34111,7268,0
21616,1129,0
43063,7673,0
7936,2192,0
44007,1265,0
43781,10446,0
50258,7453,0
12279,8636,0
8073,465,0
9756,1437,0
29301,820,0
44403,9461,0
20988,5939,0
14782,5572,0
20950,7888,0
18606,6073,0
40880,9152,0
4259,4605,0
7350,8285,0
7651,12034,0
40389,2140,0
33069,4596,0
15004,1790,0
7634,9382,0
5034,686,0
31132,2473,0
13747,1953,0
24144,12252,0
47097,11250,0
7586,1207,0
40856,7849,0
45449,4347,0
10916,11615,0
881,11401,0
14729,3186,0
35267,5214,0
12572,1240,0
18494,2914,0
49568,4186,0
2259,9597,0
3139,11107,0
38874,744,0
26678,716,0
35507,10964,0
4165,12445,0
11318,1398,0
23508,4371,0
42829,11187,0
47789,11576,0
10948,335,0
22467,4859,0
36828,1737,0
40029,4181,0
34879,5509,0
22302,7751,0
2096,527,0
40780,8238,0
50203,10970,0
13398,11938,0
39273,8929,0
2977,5559,0
30792,4087,0
39490,930,0
194,6287,0
15439,3100,0
42420,2427,0
24650,12150,0
20236,3752,0
27443,8839,0
43336,6932,0
31021,7061,0
6569,10675,0
34032,7985,0
3673,4625,0
14922,5403,0
852,1249,0
32679,8436,0
46331,12109,0
18650,12202,0
20132,5858,0
22732,9826,0
16861,1548,0
33180,12165,0
39425,11558,0
45180,11996,0
8384,2090,0
11587,6283,0
1926,12330,0
42974,8852,0
31714,1525,0
26994,9335,0
49176,5829,0
21730,8933,0
36247,1990,0
8431,1279,0
17233,12161,0
33156,7810,0
36145,2902,0
20487,11315,0
11044,12357,0
33439,982,0
3741,1694,0
47966,4466,0
9209,3149,0
38556,5646,0
42349,9265,0
1960,11662,0
40374,10976,0
16125,6170,0
17294,5401,0
41458,4936,0
8421,6546,0
21926,11583,0
8048,7359,0
24801,11368,0
15665,5515,0
43883,11396,0
21793,12461,0
34086,5974,0
31206,7290,0
36556,168,0
5871,5499,0
27713,440,0
41304,5174,0
44236,5462,0
888,265,0
25359,6940,0
40960,3534,0
19548,12592,0
43002,3669,0
10567,4048,0
4531,12430,0
3950,7684,0
33083,2236,0
35608,6064,0
12639,8086,0
45947,8496,0
8886,5994,0
44100,11022,0
27904,7457,0
17000,1930,0
45609,12066,0
17253,5258,0
38355,11641,0
31545,2396,0
18227,7202,0
16772,7496,0
30710,6242,0
39388,4606,0
42160,3230,0
23692,11432,0
9391,12181,0
17120,11075,0
49639,10824,0
26482,8391,0
29038,8512,0
50266,1568,0
5803,2973,0
27893,6392,0
33254,4998,0
8275,9051,0
1006,5707,0
16590,1261,0
48654,7798,0
34583,12539,0
47329,4157,0
22866,11061,0
20253,7983,0
29796,906,0
5169,1242,0
35877,4612,0
9046,8022,0
43924,3374,0
3322,4131,0
46951,12463,0
48969,10451,0
9101,9294,0
31766,9363,0
29971,9951,0
32399,4052,0
9157,5739,0
9023,1166,0
5203,1152,0
44743,7191,0
38847,6388,0
15404,669,0
33079,4614,0
10476,4186,0
46084,317,0
22294,6889,0
38166,6544,0
1588,5098,0
43168,842,0
49789,10426,0
41106,6257,0
32759,10264,0
5153,7791,0
8672,4817,0
46757,8621,0
36135,8952,0
32311,2893,0
16133,132,0
20774,5276,0
30496,9462,0
6378,11393,0
29268,11924,0
40852,7353,0
24626,7281,0
29381,8412,0
49289,7599,0
50129,3028,0
24074,1408,0
47505,5362,0
34586,7179,0
29828,8815,0
15974,4587,0
8132,2712,0
43590,10945,0
6583,9138,0
17979,8034,0
33380,5995,0
34785,7474,0
47335,10154,0
8831,12521,0
33315,6889,0
34398,6470,0
12434,10589,0
13088,1668,0
25271,9067,0
23966,4245,0
2566,3936,0
1808,7085,0
19193,415,0
24025,3404,0
34489,6884,0
10553,380,0
46153,11891,0
661,8380,0
42606,9092,0
34934,2979,0
12875,11882,0
20555,5148,0
28769,9266,0
15826,7853,0
5025,167,0
21130,8716,0
6439,1246,0
44056,1663,0
45150,9074,0
4865,9549,0
38800,7652,0
45945,360,0
33572,9661,0
22503,892,0
32477,8820,0
44671,4519,0
30793,9985,0
47782,10473,0
26855,9234,0
21149,10260,0
43171,12384,0
23185,6097,0
6123,9246,0
8119,5500,0
33664,12624,0
39435,11907,0
49236,6067,0
16983,11921,0
31041,7072,0
4776,2190,0
43754,7922,0
18973,5707,0
12787,4166,0
28114,10778,0
23199,6429,0
2813,10747,0
1661,7708,0
46708,2706,0
16139,8153,0
28349,7457,0
10402,5951,0
32160,7815,0
7982,6759,0
18761,7590,0
33986,5374,0
34280,8146,0
2908,6526,0
46492,2505,0
23488,7100,0
21929,255,0
24261,8365,0
33713,2810,0
7995,1042,0
43371,6619,0
270,11627,0
22101,10917,0
29969,8606,0
48107,8970,0
30570,9211,0
28461,2376,0
22475,10123,0
50197,2977,0
3117,12420,0
45519,2744,0
4414,9121,0
8829,3840,0
22698,7443,0
5846,1624,0
8543,5550,0
22005,1171,0
4945,3386,0
24769,5469,0
18459,7145,0
35215,200,0
27903,10536,0
42905,6992,0
20458,1058,0
33387,9383,0
40248,12607,0
49397,3210,0
25668,8283,0
31669,6965,0
7685,12114,0
112,4943,0
11771,2961,0
42034,5238,0
2721,10147,0
26157,5070,0
23922,9541,0
23019,9826,0
45104,1016,0
45704,5684,0
33217,10548,0
29472,314,0
13946,8495,0
35479,10943,0
39276,11572,0
22645,7818,0
10499,1748,0
12718,1196,0
21019,5433,0
13752,10483,0
2571,12180,0
30830,7989,0
12578,491,0
30045,1121,0
34413,12465,0
44168,11617,0
31201,2430,0
28965,2819,0
43278,11238,0
15643,6751,0
43179,1960,0
24587,9036,0
45403,4450,0
17352,3226,0
46314,4811,0
45547,1056,0
31565,56,0
33423,8875,0
25936,8333,0
18165,1390,0
49305,3249,0
44643,95,0
22788,10456,0
4558,11564,0
28130,12564,0
18976,8608,0
17098,2139,0
24919,4773,0
16131,5428,0
35801,9810,0
36426,8413,0
40421,11558,0
47136,2952,0
48843,1739,0
18089,11253,0
30368,1331,0
39647,3239,0
21078,175,0
47106,11033,0
18379,12687,0
949,1093,0
29385,9049,0
48346,746,0
17123,6740,0
6493,1634,0
7174,2258,0
50539,8743,0
25106,1180,0
34681,48,0
19535,8626,0
13351,11529,0
6635,6627,0
2679,8612,0
17096,5235,0
15019,6781,0
32825,8849,0
22216,10392,0
17470,11789,0
50410,3430,0
2890,8875,0
22182,3740,0
22891,12158,0
43091,8634,0
3035,9199,0
9518,12326,0
46699,3245,0
29121,7163,0
23091,10083,0
45480,9910,0
48220,4642,0
39365,6486,0
43026,8025,0
36825,11960,0
13161,10199,0
26171,9244,0
49937,12235,0
3013,1404,0
10620,9382,0
23498,10835,0
33193,11280,0
37245,6798,0
19086,4880,0
30933,7380,0
15588,1409,0
9274,4733,0
40773,5824,0
38171,6504,0
7951,942,0
34014,10756,0
31066,7961,0
39438,852,0
7964,7344,0
43625,4395,0
3945,12268,0
46141,4643,0
8666,8392,0
12020,7017,0
12737,3230,0
37025,11285,0
38771,8999,0
44576,3928,0
4171,4914,0
34810,2818,0
12192,5059,0
20421,2373,0
27095,8977,0
46079,8467,0
36701,6808,0
12497,543,0
32189,5830,0
8274,12383,0
12248,7108,0
3095,1445,0
30500,5340,0
13201,9865,0
44514,12474,0
23145,5998,0
30658,4679,0
17351,845,0
40158,12683,0
50321,4075,0
41647,12436,0
1678,8044,0
1431,4393,0
46059,6360,0
7294,7990,0
10317,11015,0
22005,8770,0
5593,8014,0
29224,8073,0
29087,8281,0
34679,6426,0
38189,9763,0
1228,4620,0
47540,7678,0
12942,5149,0
8932,10555,0
39812,8853,0
36382,495,0
15040,11442,0
26994,1898,0
31351,8894,0
15722,4547,0
5335,7626,0
15986,11445,0
30612,12708,0
36430,3749,0
4516,10886,0
7013,10206,0
46633,6269,0
11844,8739,0
37692,11547,0
23002,4443,0
20435,12578,0
28488,12376,0
43319,11457,0
33153,3678,0
9489,12380,0
40685,2133,0
12996,5322,0
33414,1639,0
40714,12008,0
48552,10046,0
16957,1920,0
15999,1119,0
41538,4246,0
15175,2272,0
44286,2850,0
25340,2711,0
45459,11869,0
11705,8411,0
40548,9987,0
21651,9634,0
37633,10190,0
15025,9960,0
24651,9278,0
22498,1350,0
6818,11307,0
48912,1746,0
24151,7404,0
40235,1695,0
22557,11881,0
21274,8806,0
46239,5538,0
20061,2356,0
2658,1120,0
27389,7406,0
8224,4677,0
15512,8249,0
4333,3621,0
45884,4900,0
41614,2959,0
17803,2038,0
17717,7421,0
20804,7318,0
36816,2844,0
27321,827,0
6955,6623,0
31739,3541,0
40442,5468,0
16981,9095,0
1130,11196,0
13652,8575,0
34075,7009,0
47359,1263,0
5469,5831,0
23168,5393,0
9195,10750,0
50864,1355,0
12439,3276,0
36252,969,0
47993,7150,0
