16790,0,0
16755,1099,0
17989,1131,0
17370,2165,0
16202,2229,0
16411,3174,0
17563,3627,0
16344,4256,0
17495,5025,0
16245,5629,0
18061,6081,0
19343,6388,0
15951,6872,0
17070,7147,0
15773,7969,0
16827,8179,0
15560,9050,0
16615,9228,0
16210,10810,0
16956,10842,0
17799,10858,0
18675,10842,0
19696,11052,0
20994,10713,0
22227,10826,0
23167,10794,0
24124,10826,0
25114,10794,0
24674,11520,0
23652,11665,0
22679,11697,0
21122,11972,0
19678,12198,0
18737,12424,0
18105,12424,0
17375,12440,0
16661,12424,0
16005,12501,0
23640,16893,0
22279,16731,0
22049,18038,0
23297,18086,0
21819,19296,0
23148,19425,0
21395,20731,0
22756,20828,0
19111,20618,0
20425,19441,0
20719,18489,0
20997,17554,0
21080,16505,0
19470,19328,0
19747,18441,0
20008,17441,0
20156,16441,0
20029,15312,0
17523,20376,0
18173,19280,0
18646,17973,0
19069,16973,0
19104,15763,0
16390,19747,0
17040,18635,0
17593,17538,0
18113,16505,0
18229,15489,0
17288,15586,0
17125,16522,0
16751,17264,0
15874,17957,0
15257,19151,0
16348,15747,0
16168,16699,0
14065,18457,0
14731,17376,0
13776,16715,0
13612,17538,0
12494,17941,0
9272,4953,0
10797,5308,0
9336,6277,0
10764,6600,0
9741,7472,0
10843,7843,0
9675,8731,0
10826,8973,0
8621,7278,0
8572,8505,0
7502,7100,0
7388,8279,0
10809,10884,0
9593,10884,0
5886,12562,0
5838,11320,0
8385,10658,0
7250,10222,0
5791,9464,0
5921,7882,0
4266,8915,0
4721,7430,0
4168,10707,0
2368,10109,0
2742,8156,0
3504,7026,0
2369,6606,0
3310,5621,0
2450,4814,0
1233,7639,0
1135,9270,0
0,8883,0
12279,9593,0
12361,8866,0
12443,8108,0
12492,7397,0
